1914	09	20	AR	BR	3	0	F		11	1950	1889	0	−	5	7
1914	09	27	AR	BR	0	1	ROC		-21	1929	1910	0	0	5	7
1916	07	08	BR	CL	1	1	SA	AR	-23	1887	1407	0	0	7	25
1916	07	10	AR	BR	1	1	SA		-10	1932	1897	−1	0	5	7
1916	07	12	UY	BR	2	1	SA	AR	24	1941	1873	+2	−1	4	8
1916	07	18	UY	BR	0	1	F		-15	1933	1888	−1	+1	5	7
1917	10	03	AR	BR	4	2	SA	UY	27	2010	1861	0	−3	3	9
1917	10	07	UY	BR	4	0	SA		31	1911	1830	+1	−1	6	10
1917	10	12	BR	CL	5	0	SA	UY	8	1838	1393	+1	0	9	26
1917	10	16	UY	BR	3	1	F		7	1943	1831	0	−1	6	10
1919	05	11	BR	CL	6	0	SA		5	1836	1398	0	−1	9	28
1919	05	18	BR	AR	3	1	SA		43	1879	1940	+1	−2	8	6
1919	05	25	BR	UY	2	2	SA		-1	1878	1967	0	0	8	4
1919	05	29	BR	UY	1	0	SA		24	1902	1943	+1	−2	7	6
1919	06	01	BR	AR	3	3	RCH		-2	1900	1961	0	0	7	4
1920	09	11	CL	BR	0	1	SA		-4	1388	1904	0	0	31	8
1920	09	18	UY	BR	6	0	SA	CL	40	2032	1864	+1	−2	1	10
1920	09	25	AR	BR	2	0	SA	CL	35	1926	1829	+1	−1	6	11
1920	10	06	AR	BR	3	1	F		7	1933	1822	+1	0	5	11
1921	10	02	AR	BR	1	0	SA		12	1929	1810	0	0	7	13
1921	10	12	BR	PY	3	0	SA	AR	45	1855	1772	+4	−2	10	15
1921	10	23	UY	BR	2	1	SA	AR	16	2009	1839	0	−2	2	12
1922	09	17	BR	CL	1	1	SA		-23	1816	1435	−2	0	13	40
1922	09	24	BR	PY	1	1	SA		-11	1805	1762	0	0	13	15
1922	10	01	BR	UY	0	0	SA		7	1812	1993	0	0	13	2
1922	10	15	BR	AR	2	0	SA		40	1852	1896	+4	−4	10	7
1922	10	22	BR	AR	2	1	ROC		14	1866	1912	+2	0	8	5
1922	10	22	BR	PY	3	0	SA		23	1889	1761	+2	−1	8	15
1922	10	29	BR	PY	3	1	RAC		10	1899	1751	+1	0	7	15
1923	11	11	PY	BR	1	0	SA	UY	35	1786	1864	+1	−2	14	10
1923	11	18	AR	BR	2	1	SA	UY	20	1961	1844	+2	0	2	10
1923	11	22	BR	PY	2	0	RAC	UY	19	1863	1767	0	−1	10	15
1923	11	25	UY	BR	2	1	SA		13	1959	1850	0	0	3	10
1923	12	02	AR	BR	0	2	CYC		-35	1926	1885	−5	+1	7	9
1923	12	09	AR	BR	2	0	ROC		16	1903	1869	+1	−1	7	10
1925	12	06	BR	PY	5	2	SA	AR	39	1908	1792	+2	−3	6	14
1925	12	13	AR	BR	4	1	SA		25	1991	1883	+1	−1	2	7
1925	12	17	BR	PY	3	1	SA	AR	28	1911	1764	+1	−1	6	15
1925	12	25	AR	BR	2	2	SA		-12	1989	1923	0	0	2	6
1930	07	14	YU	BR	2	1	WC	UY	52	1642	1871	+4	−1	26	9
1930	07	20	BR	BO	4	0	WC	UY	3	1874	1244	0	0	9	62
1930	08	01	BR	FR	3	2	F		2	1876	1575	0	0	9	34
